French,English
chercher,search
seulement,only
police,police
aide,help
mois,month
frère,brother
laisser,let
car,because
mettre,to put
eux,them
parlé,speak
arrivé,come
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
dont,whose
trouve,find
main,hand
première,first
côté,side
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
venu,came
suite,after
chambre,bedroom
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
parti,left
dirait,would say
donne,given
croire,believe
chérie,sweetheart
gros,large
bureau,office
